progress;finished;duration;experience;oss_experience;repo_name;PR_amount;role;role_text;job;is_daily_job;testing;test_kind;test_kind_text;test_coverage_kind;test_coverage_kind_text;code_coverage_aware;code_coverage_amount;code_coverage_location;test_tooling;PR_comments;PR_comments_kind;PR_comments_count_tests;PR_comments_count_code_quality;PR_comments_count_defect;PR_comments_kind_other;reviewers;CR_checklist;CR_checklist_location;PR_checks;PR_checks_type;PR_checks_type_other;how_CR_helps;use_asats;asats_name;gha_or_apps;gha_type;which_app;CI_workflows;CI_configuration;CI_when_how_check;CI_situation;any_bots;which_bots;newcomer_guidelines;building_guidelines;quote_consent;archive_consent;job_academia;job_industry;job_oss;job_other;test_kind_unit;test_kind_integration;test_kind_validation;test_kind_system;test_kind_other;tc_kind_line;tc_kind_branch;tc_kind_mutation;tc_kind_other
100.0;TRUE;477;3 to 6 years;1 to 3 years ago;gluesql/gluesql;50 to 100;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);collaborator;Open Source Software;Yes;Yes;Unit testing,Integration testing;;Statement/Line coverage,Branch coverage;;Yes, I know. (Please specify in the text box below);;;rust test attribute macros, grcov;;;;;;;1;No.;;I'm not aware of it.;;;;;;;;;;;;;;;;;;;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;482;10 years and more;10 years ago or more;Eclipse/birt;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Other;No;Yes;Unit testing,Integration testing,Validation testing;;Statement/Line coverage;;No, this information is not on the GitHub page of the project.;;;Junit eclipse Tycho maven surefire;1 or 2;Code quality or maintainability defects;;;;;2;Yes (Please provide a link to it in the text box below):;Don't know lookup yourself;Yes;Build checks,Test results;;Catch bugs earlu;Yes;;Yes, only GitHub Actions.;Build checks;;Yes.;Scripting;Notification on pr;Build failure notification ;Yes.;Dunno;See readme in the project page;Yes;Yes;Yes;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
100.0;TRUE;281;3 to 6 years;1 to 3 years ago;;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Industry;Yes;Yes;Unit testing,Integration testing;;;;;;;;5;Tests,Code quality or maintainability defects;;;;;1;Yes (Please provide a link to it in the text box below):;;Yes;Code quality warnings,Build checks,Test results;;;I don't know.;;Yes, only GitHub Actions.;;;Yes.;.github file;;Tests in CI must pass before the PR is merged ;Yes.;Dependabot. Kubernetes CI bot;;Yes;Yes;Yes;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;524;10 years and more;10 years ago or more;zip-rs/zip;Less than 10;Source code contributor;;Industry;No;Yes;Unit testing,Integration testing;;;;;;;built-in Rust testing framework;3;Code quality or maintainability defects;;3;;;2;Not aware of it.;;No.;;;"1) Find bugs/regressions
2) Keep code maintinable";Yes;;No.;;;No we don't configure our CI workflows on GitHub.;;;;No.;;;;Yes;Yes;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;493;10 years and more;10 years ago or more;shakacode/shakapacker;Less than 10;Source code contributor;;Industry,Academia;No;Yes;Unit testing,Integration testing,Validation testing;;Other (Please specify in the text box below);None;No, this information is not on the GitHub page of the project.;;;RSpec;2;Tests,Code quality or maintainability defects;;;;;2;Yes (Please provide a link to it in the text box below):;https://github.com/shakacode/shakapacker/blob/master/.github/ISSUE_TEMPLATE/bug_report.md;Yes;Code quality warnings,Test results;;;Yes;;Yes, only GitHub Actions.;;;Yes.;YAML;For each PR, during code review and before merging;;No.;;https://github.com/shakacode/shakapacker/blob/master/CONTRIBUTING.md;Yes, linked above.;Yes;Yes;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
100.0;TRUE;772;7 to 10 years;3 to 6 years ago;woocommerce/facebook-for-woocommerce;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Industry,Open Source Software;No;Yes;Unit testing;;;;No, this information is not on the GitHub page of the project.;;;PHPUnit, playwright;9;Tests,Code quality or maintainability defects;;;;;1;Yes (Please provide a link to it in the text box below):;https://github.com/woocommerce/facebook-for-woocommerce/blob/develop/.github/CONTRIBUTING.md;Yes;Code quality warnings,Build checks,Test results;;;No.;;Yes, only GitHub Actions.;PHP Coding Standards, PHP Unit Tests, Add all new issues to the backlog board. Set PR Labels;;We don't have CI workflows.;;;;Yes.;dependabot;yes, https://github.com/woocommerce/facebook-for-woocommerce/blob/develop/.github/CONTRIBUTING.md;yes, https://github.com/woocommerce/facebook-for-woocommerce/blob/develop/README.md;Yes;Yes;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;687;1 to 3 years;Less than 1 year ago;openfoodfacts/smooth-app;10 to 50;Source code contributor;;Open Source Software;No;Yes;Unit testing,Integration testing,Validation testing,System testing;;Statement/Line coverage,Branch coverage;;No, this information is not on the GitHub page of the project.;;;dart;5 to 6;Other (Please specify the subject and number of comments in the text box below);;;;Feature or issue;More than 2;Yes (Please provide a link to it in the text box below):;https://github.com/openfoodfacts/smooth-app/issues/3680;Yes;Code quality warnings,Code coverage reports,Build checks,Test results;;Highlights potential issues or warnings and if it affected other parts of application;No.;;Yes, only GitHub Actions.;Workflows;;Yes.;I really didn't explored much;It gets attached whenever an issue or code changes;Highlighted areas affected ;No.;;Yes They get its present in project overview;Yes , It consists of the guidelines;Yes;Yes;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;687;10 years and more;10 years ago or more;BOINC/boinc;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Industry,Open Source Software;No;Yes;Unit testing,Integration testing;;Statement/Line coverage,Branch coverage;;Yes, I know. (Please specify in the text box below);10%;;gtest, junit, phpunit;~10;Tests,Code quality or maintainability defects,Functional defects;;;;;2;No.;;Yes;Code quality warnings,Code coverage reports,Build checks,Test results;;Increase stability, minimize issues;Yes;;Yes, both.;A lot of them since we have different and sometimes complex build flows;Codecov;Yes.;It's configured to cover as much build variants as possible;On every commit;It help to catch build issues for different platforms and catch incompatibilities;Yes.;Dependebot;Contributing.md;Yes;Yes;Yes;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;681;10 years and more;10 years ago or more;GoogleCloudDataproc/initialization-actions;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);Co-maintainer;Industry;No;Yes;Unit testing,Integration testing;;Other (Please specify in the text box below);None;No, this information is not on the GitHub page of the project.;;;Google cloud build;Around 100;Tests,Functional defects,Other (Please specify the subject and number of comments in the text box below);;;;Build command trigger, change discussion;More than 2;Yes (Please provide a link to it in the text box below):;https://github.com/GoogleCloudDataproc/initialization-actions/blob/master/CONTRIBUTING.md;I'm not aware of it.;;;I learn new things.  I train new contributes.  Standards help to maintain a high level of quality;No.;;I don't know.;;;I don't know.;;;Caught bugs before merge;Yes.;I would have to check with a teammate;https://github.com/GoogleCloudDataproc/initialization-actions/blob/master/CONTRIBUTING.md;https://github.com/GoogleCloudDataproc/initialization-actions/blob/master/CONTRIBUTING.md;Yes;Yes;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
100.0;TRUE;509;10 years and more;10 years ago or more;TalleoProject/talleo-gui;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);Maintainer;Open Source Software;Yes;Yes;Integration testing,Validation testing;;;;No, this information is not on the GitHub page of the project.;;;GoogleTest;0;;;;;;0;No.;;No.;;;It doesn't.;No.;;Yes, only GitHub Actions.;Build test with different compilers;;Yes.;YAML;Results are e-mailed on failure;New compilers have better checks for code conforming to relevant standards.;No.;;No.;Yes. Build instructions for supported compilers and operating systems.;Yes;Yes;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;475;3 to 6 years;1 to 3 years ago;IntellectualSites/PlotSquared;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);Maintainer;Industry,Open Source Software;No;Yes;Unit testing;;;;No, this information is not on the GitHub page of the project.;;;JUnit;1-3;Code quality or maintainability defects;;1;;;2;Yes (Please provide a link to it in the text box below):;https://github.com/IntellectualSites/.github/blob/main/.github/PULL_REQUEST_TEMPLATE.md;Yes;Build checks,Test results;;;Yes;;Yes, both.;Build, Update Notifications;Renovate, CodeQL;Yes.;Using the YAML files;;;Yes.;Dependabot ;https://github.com/IntellectualSites/.github/blob/main/CONTRIBUTING.md;;Yes;Yes;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;836;10 years and more;10 years ago or more;umple/umple;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Academia;No;Yes;Unit testing,Integration testing,Validation testing,System testing;;Other (Please specify in the text box below);Feature coverage, grammar element coverage;No, this information is not on the GitHub page of the project.;;;Junit, PhPunit, pyunit, built-in self-test;3;Tests,Functional defects;;;;;1;Yes (Please provide a link to it in the text box below):;;Yes;Build checks,Test results;;Ensures features are developed well, quality is maintained, etc.;No.;;No.;;;Yes.;We have our own Jenkins server for build and test on Linux, and Appveyor for Windows;Whenever there is a PR or commit to a branch.;We always require 100% test pass rate of over 10,000 tests. And we always require success on Windows and Linux. Many times we get failures and we always have to fix the resulting tests before merging to master (which would then resulting in continuous deployment);Yes.;dependabot;https://github.com/umple/umple/blob/master/CONTRIBUTING.md;Yes;Yes;Yes;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
100.0;TRUE;505;3 to 6 years;3 to 6 years ago;webview/webview;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);maintainer;Other;No;Yes;Unit testing,Integration testing;;;;No, this information is not on the GitHub page of the project.;;;GitHub CI plus bash/bat scripts;Two;Code quality or maintainability defects;;;;;2;Yes (Please provide a link to it in the text box below):;https://github.com/webview/webview/blob/master/CONTRIBUTING.md;Yes;Code quality warnings,Code coverage reports,Build checks,Test results;;Code reviewing helps us make sure the code compiles, hasn't regressed compared to previous iterations, and makes sure the code is well formated.;No.;;Yes, only GitHub Actions.;Checkout;;Yes.;Via a ci.yaml file;After every PR and commit;CI workflows continually help catch formatting changes and ensure cross-platform integration. For example, I write pull requests primarily from my Linux machine. The CI ensures my contributions work on Windows and MacOS as well.;No.;;https://github.com/webview/webview/blob/master/CONTRIBUTING.md;in the Readme;Yes;Yes;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;1215;10 years and more;3 to 6 years ago;ClickHouse/ClickHouse;More than 100;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);Founder, CTO;Industry,Open Source Software;Yes;Yes;Unit testing,Integration testing,Validation testing,System testing,Other (Please specify in the text box below);Fuzzing, stress testing, performance testing;Statement/Line coverage;;Yes, I know. (Please specify in the text box below);80;;"Google test, pytest, custom; also we collect the history to a database: https://clickhouse.com/blog/decorating-a-christmas-tree-with-the-help-of-flaky-tests";Around 15 comments a day, see https://play.clickhouse.com/play?user=play#U0VMRUNUIGNyZWF0ZWRfYXQ6OkRhdGUgQVMgZCwgY291bnQoKSBGUk9NIGdpdGh1Yl9ldmVudHMgV0hFUkUgcmVwb19uYW1lID0gJ0NsaWNrSG91c2UvQ2xpY2tIb3VzZScgQU5EIGV2ZW50X3R5cGUgSU4gKCdJc3N1ZUNvbW1lbnRFdmVudCcsICdQdWxsUmVxdWVzdFJldmlld0NvbW1lbnRFdmVudCcpIEFORCBhY3Rvcl9sb2dpbiA9ICdhbGV4ZXktbWlsb3ZpZG92JyBHUk9VUCBCWSBkIE9SREVSIEJZIGQ=;Tests,Code quality or maintainability defects,Functional defects;;;;;1;No.;;Yes;Code quality warnings,Build checks,Test results,Other (Please specify in the text box below);Style, compatibility, static analysis...;Spread the knowledge across the team, and make people aware of the existence of the changes, allowing to align the changes to the product directions.;Yes;;Yes, both.;We use our own workflows - PullRequestCI, MasterCI, and other.;ClickHouse CI, SonarCloud, Vercel, ...;Yes.;Using YAML files in the .github directory.;In every commit and every pull request.;"1. https://clickhouse.com/blog/decorating-a-christmas-tree-with-the-help-of-flaky-tests
2. https://clickhouse.com/blog/testing-the-performance-of-click-house

ClickHouse showcases the most advanced usage of CI for an open-source project, with result artifacts and the database available to the public.

No other open-source software projects use more accessible and advanced CI.
Also, check the status page: https://aretestsgreenyet.com/";Yes.;robot-clickhouse-N (N = 1..10) + a few additional;https://clickhouse.com/docs/en/development/developer-instruction;The latest version is always compilable, it is ensured by CI.;Yes;Yes;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
100.0;TRUE;608;7 to 10 years;7 to 10 years ago;ElektraInitiative/libelektra;Less than 10;Source code contributor;;Academia,Open Source Software;Yes;Yes;Unit testing,Integration testing;;Statement/Line coverage,Branch coverage;;No, but I can find this information somewhere on project's GitHub. (Please specify in the text box below);;I can get if from the build artifacts;Jenkins, Google Test, GitHub actions, Valgrind;10-15;Other (Please specify the subject and number of comments in the text box below);;;;coding style, architectural decisions;2;Yes (Please provide a link to it in the text box below):;https://github.com/ElektraInitiative/libelektra/blob/master/.github/PULL_REQUEST_TEMPLATE.md;Yes;Code quality warnings,Build checks,Test results,Other (Please specify in the text box below);Formatting and spelling mistakes;Helps with consistent style, edge cases, overall architectural design;Yes;;Yes, both.;CodeQL;;Yes.;via configuration files that are checked into the repository;every pull request;we have a spell checker, so that helps a lot. also automated detection of memory leaks and execution of all tests.;Yes.;stale;https://www.libelektra.org/devgettingstarted/contributing;yes;Yes;Yes;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;915;10 years and more;10 years ago or more;naftaliharris/tauthon;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);maintainer;Other;No;Yes;Unit testing,Integration testing,Validation testing;;;;No, this information is not on the GitHub page of the project.;;;unittest;0;;;;;;0;No.;;No.;;;Increases code quality.;No.;;Yes, only GitHub Actions.;actions/checkout, maxim-lobanov/setup-xcode, microsoft/setup-msbuild;;Yes.;With a YML configuration file.;After pushing commits to a pull request.;CI testing catches platform-specific breakage for platforms other than my main one.;No.;;No.;No.;Yes;Yes;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
